ARTISTI;TULOT
Billy Idol   ;$250Ê000,00
Blue Rodeo   ;$250Ê000,00
Bob Dylan   ;$250Ê000,00
Bonnie Raitt   ;$250Ê000,00
Crosby, Stills & Nash   ;$250Ê000,00
Evanescence   ;$250Ê000,00
Foo Fighters   ;$250Ê000,00
Godsmack   ;$250Ê000,00
John Fogerty   ;$250Ê000,00
Kesha   ;$250Ê000,00
Lynyrd Skynyrd   ;$250Ê000,00
Peter Gabriel   ;$250Ê000,00
Queens Of The Stone Age   ;$250Ê000,00
Rise Against   ;$250Ê000,00
Sammy Hagar   ;$250Ê000,00
Sarah McLachlan   ;$250Ê000,00
Seal   ;$250Ê000,00
Shinedown   ;$250Ê000,00
Steely Dan   ;$250Ê000,00
Steve Miller Band   ;$250Ê000,00
Stevie Nicks   ;$250Ê000,00
The Lumineers   ;$250Ê000,00
The Tragically Hip   ;$250Ê000,00
Tool   ;$250Ê000,00
Toto   ;$250Ê000,00
Weezer   ;$250Ê000,00
Chrissie Hynde   ;$275Ê000,00
The Pretenders   ;$275Ê000,00
Daughtry   ;$300Ê000,00
Don Henley   ;$300Ê000,00
Duran Duran   ;$300Ê000,00
Journey   ;$300Ê000,00
Limp Bizkit   ;$300Ê000,00
No Doubt   ;$300Ê000,00
Tenacious D   ;$300Ê000,00
Van Halen   ;$300Ê000,00
Alice In Chains;$350Ê000,00
Avril Lavigne   ;$350Ê000,00
Carole King   ;$350Ê000,00
Elvis Costello   ;$350Ê000,00
James Blunt   ;$350Ê000,00
Jason Mraz   ;$350Ê000,00
Kiss   ;$350Ê000,00
Soundgarden   ;$350Ê000,00
Stone Temple Pilots (STP)   ;$350Ê000,00
ZZ Top   ;$350Ê000,00
Gwen Stefani   ;$400Ê000,00
Kings Of Leon   ;$400Ê000,00
Bob Seger & The Silver Bullet Band   ;$500Ê000,00
Brandon Flowers   ;$500Ê000,00
Coldplay   ;$500Ê000,00
Dave Grohl (solo)   ;$500Ê000,00
Eric Clapton   ;$500Ê000,00
Faith No More   ;$500Ê000,00
Fleetwood Mac   ;$500Ê000,00
Foster The People   ;$500Ê000,00
Hilary Duff   ;$500Ê000,00
